#level,question,choice1,choice2,choice3,choice4,answer
4,有一個字，我們從小到大都唸錯，那是什麼字？,我,做,不,錯,4
4,哪一條河連一滴水也沒有?,北極河,銀河,黃河,以上皆是,2
4,人體最堅硬的組織是什麼?,骨骼,眼角膜,耳膜,琺瑯質,4
4,以下的動物，哪一種不適合飼養?,貓,狗,倉鼠,鯊魚,4
4,政府提供哪一種戒毒服務？,黑沙酮自願門診 ,海沙酮自願門診 ,美沙酮自願門診 ,樂沙酮自願門診 ,3
4,哪一間是香港成立的銀行?,東亞銀行,中國銀行,恆生銀行,滙豐銀行,1
4,麥當勞是哪一年在香港成立?,1987,1976,1978,1974,4	
4,端午節是紀念誰?,屈原,屈人,屈臣,屈你,1
4,香港有多少萬人口?,690萬,700萬,710萬,800萬,2	
4,由2004年開始，每年6月14日，即發現ABO血型系統嘅諾貝爾得獎者卡爾∙蘭斯坦(Karl Landsteiner) 的壽辰，定為什麼日?,世界捐血日,卡爾∙蘭斯坦日,世界血型日,世界捐血者日,4
4,太陽系主要由_____和九大行星組成的。,太陽,月亮,地球,火星,1
4,香煙中含有_____、焦油和一氧化碳等有害物質，危害人體健康。,K仔,海絡英,尼古丁,藍精靈,3
4,植物需要氧氣﹑水及什麼來有足夠養份生長?,氮氣,氦氣,二氧化碳,陽光,4
